,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA_x,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,ast/tov,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,all_star,total_points,PPG,conference_B10,conference_B12,conference_BE,conference_Non_major,conference_P10,conference_P12,conference_SEC,Pos_F,Pos_G
258,Allen Crabbe,California,33,90.2,108.7,25.4,52.8,56.83,3.3,14.8,16.2,16.4,113,139,0.8130000000000001,151,284,0.532,64,184,0.34800000000000003,1.9,1.9,29.7,3,78,4.89605,123.015,2.3,2013,18663,1.04818702,31.0,96.3071,92.3083,4.20554,221.672,7.1279699999999995,4.938219999999999,2.18975,7.227,36.2121,5.211,2.016,0,607,18.39,0,0,0,0,0,1,0,0,1
259,Roy Devyn Marble,Iowa,33,74.4,112.7,27.1,47.9,52.78,2.9,8.6,23.6,12.0,142,199,0.7140000000000001,131,287,0.456,52,149,0.34900000000000003,0.8,3.4,45.6,4,78,4.2483699999999995,128.821,2.6,2014,18726,2.07016731,56.0,99.5652,95.5651,3.52345,188.535,7.09655,6.4160900000000005,0.680457,7.631,30.2121,5.9479999999999995,1.683,0,560,16.97,1,0,0,0,0,0,0,0,1
260,Russ Smith,Louisville,37,73.2,113.9,30.7,54.1,57.61,2.9,9.6,31.6,18.1,153,217,0.705,155,300,0.517,70,181,0.387,0.4,4.0,45.1,4,72,4.58105,132.787,3.4,2014,18729,1.63809994,47.0,89.1082,86.915,4.3439,214.206,9.377839999999999,6.3282099999999994,3.04962,10.033999999999999,29.2703,6.405,3.6289999999999996,0,673,18.19,0,0,0,1,0,0,0,0,1
261,Terrence Ross,Washington,35,77.2,111.9,23.3,53.4,55.77,4.7,17.6,9.2,15.5,72,94,0.7659999999999999,143,276,0.518,72,194,0.371,3.0,2.3,20.0,2,78,3.7775300000000005,119.619,3.6,2012,18838,0.7000000000000001,8.0,95.3759,92.0641,3.67196,235.38400000000001,6.0189,3.6082699999999996,2.4106300000000003,6.827999999999999,31.0857,4.705,2.123,0,574,16.4,0,0,0,0,0,1,0,0,1
262,Harrison Barnes,North Carolina,38,72.9,108.2,26.0,48.7,52.8,6.9,11.0,7.2,14.0,141,195,0.723,180,384,0.469,49,137,0.358,1.1,2.0,37.4,2,80,3.7366099999999998,121.301,2.4,2012,18910,0.58108247,7.0,94.6442,90.07600000000001,3.6678599999999997,212.697,5.46678,3.96115,1.50563,5.921,29.2368,4.333,1.588,0,648,17.05,0,0,0,0,0,0,0,1,0
263,Alec Brown,Green Bay,27,73.3,108.8,24.5,55.0,58.48,7.7,12.6,7.7,17.8,81,107,0.757,109,218,0.5,41,92,0.446,9.7,1.1,34.5,4,85,3.00515,116.185,3.1,2014,19005,0.47541274,50.0,97.5755,97.14,3.43129,153.50799999999998,4.19533,0.8836790000000001,3.31165,4.68,30.6667,3.446,1.234,0,422,15.63,0,0,0,1,0,0,0,1,0
264,Will Barton,Memphis,35,87.3,116.3,25.4,55.0,58.75,7.6,18.5,17.3,14.2,134,179,0.7490000000000001,193,345,0.5589999999999999,37,107,0.34600000000000003,2.1,2.4,39.6,2,78,5.44022,129.22,2.4,2012,19014,1.34663307,40.0,91.0706,88.4891,4.59015,254.62400000000002,9.46889,6.18851,3.28038,9.254,35.3143,6.968999999999999,2.285,0,631,18.03,0,0,0,1,0,0,0,0,1
265,Tony Snell,New Mexico,35,77.5,105.0,22.0,51.6,56.23,1.6,8.1,22.4,18.5,86,102,0.843,80,177,0.452,64,164,0.39,1.9,1.6,29.9,3,79,3.09291,112.65,1.7000000000000002,2013,19313,1.40280006,20.0,97.3769,93.54799999999999,3.4813099999999997,174.245,4.28378,3.04712,1.23666,5.099,31.2286,3.447,1.652,0,438,12.51,0,0,0,1,0,0,0,0,1
266,Cameron Bairstow,New Mexico,34,81.1,117.8,28.9,55.8,61.14,8.5,16.6,11.8,12.8,219,298,0.735,236,423,0.5579999999999999,1,3,0.33299999999999996,4.9,1.0,70.0,4,81,5.26154,134.433,2.6,2014,19393,0.7794000000000001,49.0,98.3574,95.4616,3.85163,212.0,6.5986199999999995,3.8239099999999997,2.7747,8.811,32.9118,6.657,2.154,0,694,20.41,0,0,0,1,0,0,0,1,0
267,Alex Len,Maryland,38,65.8,112.7,22.6,53.5,56.97,13.2,19.3,7.8,15.6,105,153,0.6859999999999999,172,316,0.544,1,8,0.125,8.0,0.5,47.2,2,85,3.1914599999999997,118.829,4.0,2013,19499,0.61669517,5.0,91.861,88.507,3.41733,214.642,7.06571,2.5049200000000003,4.56079,6.19,26.4211,3.738,2.452,0,452,11.89,0,0,0,0,0,0,0,0,0
268,Otto Porter,Georgetown,31,84.4,118.8,23.4,54.1,59.0,6.7,19.0,18.5,11.7,122,157,0.777,125,248,0.504,43,102,0.42200000000000004,3.0,3.3,44.9,2,80,5.67299,130.84799999999998,2.2,2013,19628,1.78728316,3.0,84.1473,79.8442,5.5660300000000005,240.544,12.7507,6.81355,5.93717,13.01,35.3871,7.563,5.447,0,501,16.16,0,0,1,0,0,0,0,1,0
269,Rodney Hood,Duke,35,81.9,119.8,22.3,55.0,59.02,2.9,11.7,13.2,12.8,109,135,0.807,120,243,0.494,71,169,0.42,0.8,1.3,32.8,2,80,4.83862,130.274,3.2,2014,19693,1.38887809,23.0,105.837,100.34700000000001,3.3328599999999997,164.685,6.50415,5.95253,0.551617,6.93,32.8571,6.287999999999999,0.642,0,562,16.06,0,0,0,0,0,0,0,1,0
270,James Ennis,Long Beach St.,31,83.5,111.0,24.0,55.9,61.02,6.3,15.5,14.2,21.0,110,129,0.853,114,198,0.5760000000000001,53,148,0.358,4.1,3.1,37.3,4,79,3.9168800000000004,117.71799999999999,2.7,2013,19743,0.74155347,50.0,101.415,100.029,2.99722,220.93400000000003,6.6157900000000005,4.33694,2.27886,6.117999999999999,33.5161,5.0,1.1179999999999999,0,497,16.03,0,0,0,1,0,0,0,0,1
271,Marcus Thornton,William & Mary,31,93.2,111.7,27.2,55.6,59.66,1.0,7.5,17.9,14.5,117,142,0.8240000000000001,111,211,0.526,94,242,0.38799999999999996,0.4,1.1,31.3,4,76,4.73035,121.98,1.2,2015,19793,1.23378905,45.0,110.67399999999999,111.539,2.0535200000000002,149.321,-0.5737869999999999,4.144430000000001,-4.7182200000000005,1.99,36.6667,5.281000000000001,-3.2910000000000004,0,621,20.03,0,0,0,1,0,0,0,0,1
272,Pat Connaughton,Notre Dame,38,87.4,120.4,16.7,59.7,61.46,4.2,20.4,7.6,12.2,50,64,0.7809999999999999,73,136,0.537,93,220,0.423,2.7,1.3,18.0,4,77,4.25723,120.48899999999999,2.2,2015,19805,1.29544866,41.0,99.958,95.5733,3.8644800000000004,246.333,7.63633,5.65402,1.9823099999999998,6.2860000000000005,35.5526,5.455,0.8310000000000001,0,475,12.5,0,0,0,0,0,0,0,0,1
273,Spencer Dinwiddie,Colorado,17,37.4,129.4,21.5,56.5,66.66,1.8,9.6,26.3,15.6,102,119,0.857,35,68,0.515,26,63,0.413,0.8,2.9,90.8,3,78,4.975569999999999,134.102,2.4,2014,19806,2.13333711,38.0,100.765,96.9882,3.50461,96.5382,9.24283,7.31761,1.9252200000000002,8.689,31.1176,5.313,3.3760000000000003,0,250,14.71,0,0,0,0,0,1,0,0,1
274,Larry Nance Jr.,Wyoming,29,77.3,106.3,27.9,52.7,57.66,6.2,20.5,19.7,15.9,113,144,0.785,162,306,0.529,14,41,0.341,4.3,2.3,41.5,4,80,3.9668300000000003,118.021,2.6,2015,20039,1.08569151,27.0,91.6832,91.7664,4.33661,203.468,5.52232,1.6047600000000002,3.91756,6.375,34.9032,3.782,2.593,0,479,16.52,0,0,0,1,0,0,0,1,0
